,Mario Andretti
2268,">H. Jackson Brown, Jr."
2269,>Sophia Bush
2270,>Andrew J. Bernstein
2271,>Thomas A. Edison
2272,>Steve Jobs
2273,>Gary Ryan Blair
2274,>Lisa Marie Presley
2275,>Megan Fox
2276,>Carol Alt
2277,>Gary Herbert
2278,>Sting
2279,>Charles Morgan
2280,>Harriet Beecher Stowe
2281,>Quentin Crisp
2282,>Eddie Cantor
2283,>Anita Ekberg
2284,>Dawn French
2285,>Rachel Nichols
2286,>Thomas a Kempis
2287,>Wolfgang Amadeus Mozart
2288,>Simon Cowell
2289,>Oriana Fallaci
2290,>Alfred North Whitehead
2291,>Francis of Assisi
2292,>Elbert Hubbard
2293,>Leo Buscaglia
2294,>Victor Hugo
2295,>Amy Winehouse
2296,>Ben Peek
2297,>Eminem
2298,>Mike Birbiglia
2299,>Roxane Gay
2300,>Will Smith
2301,>Drew Houston
2302,>Isla Fisher
2303,>Solange Knowles
2304,>Bobbie Ann Mason
2305,>Brian Tracy
2306,>Keke Palmer
2307,>Samuel Smiles
2308,>Monica Seles
2309,>Patrick Kavanagh
2310,>Conor McGregor
2311,>Drew Barrymore
2312,>Tom DeLonge
2313,>Michel de Montaigne
2314,>Rabindranath Tagore
2315,>John Cheever
2316,>H. L. Mencken
2317,>Zig Ziglar
2318,>Uday Kiran
2319,>Woody Harrelson
2320,>Honore de Balzac
2321,>Bob Newhart
2322,>Lucretius
2323,>Sidney Lanier
2324,>Christopher Knight
2325,>Mother Angelica
2326,>Desiderius Erasmus
2327,>Malcolm Mclaren
2328,>Thomas Merton
2329,>Christopher Morley
2330,>William James
2331,>Adam Braun
2332,>Justine Larbalestier
2333,>Lynn Good
2334,>W. H. Auden
2335,>Aesop
2336,>Neil Gaiman
2337,>Joseph Joubert
2338,>Ron Chernow
2339,>Mary Archer
2340,>Leonardo da Vinci
2341,>Gloria Steinem
2342,>Ben Shapiro
2343,>Paul Valery
2344,>Amal Clooney
2345,>Michelle Obama
2346,>Eric Alterman
2347,>Matthew McConaughey
2348,>Gavin Hood
2349,>Lydia M. Child
2350,>Natalie Portman
2351,>Bob Marley
2352,>Naveen Jain
2353,>Ian Dunbar
2354,>Jennifer Ellison
2355,>Juhi Chawla
2356,>Frederick William Robertson
2357,>Rand Paul
2358,>Ted Allen
2359,>Oscar Wilde
2360,>Mary Berry
2361,>Ken Venturi
2362,>Brian Tracy
2363,>Terry Pratchett
2364,>Mark Twain
2365,>Alexandre Dumas
2366,>William Feather
2367,>Woody Hayes
2368,>David Nicholls
2369,>Henry J. Heinz
2370,>James Cash Penney
2371,>Jenna McCarthy
2372,>Elena Kagan
2373,>Tom Robbins
2374,>Charles Peguy
2375,>Samuel Taylor Coleridge
2376,>Samuel Johnson
2377,>Jerry Brown
2378,>Pietro Aretino
2379,>Sarah McLachlan
2380,>Ginger Rogers
2381,>Stanley Hauerwas
2382,">Edward Whitacre, Jr."
2383,>Henry Ford
2384,>Madonna Ciccone
2385,>Michelle Bachelet
2386,>Mark Frauenfelder
2387,>Jane Campion
2388,>Steve Jobs
2389,>Ravi Zacharias
2390,>Joe Jamail
2391,>Johann Wolfgang von Goethe
2392,>Joseph Campbell
2393,>Daisaku Ikeda
2394,>Henry David Thoreau
2395,>Karen Horney
2396,>George Sand
2397,>William Shakespeare
2398,>Socrates
2399,>Mstislav Rostropovich
2400,>Ann Landers
2401,>Jeff Sessions
2402,>John Ortberg
2403,>Lou Holtz
2404,>Pierre Teilhard de Chardin
2405,>Samuel Smiles
2406,>Wilbur Wright
2407,">George Allen, Sr."
2408,>Lao Tzu
2409,>Taylor Swift
2410,>Paulo Coelho
2411,>Walter Elliot
2412,">H. Jackson Brown, Jr."
2413,>Nicholas Kristof
2414,>John Grant
2415,>Kendrick Lamar
2416,>Joseph Addison
2417,">Harry Connick, Jr."
2418,>John Cleese
2419,>Steve Wynn
2420,>Davy Crockett
2421,>Ron White
2422,>Richard Lamm
2423,>Jill Scott
2424,>Norman Borlaug
2425,>Grover Norquist
2426,>Robert Louis Stevenson
2427,>David R. Ellis
2428,>Robin Morgan
2429,>Lucius Annaeus Seneca
2430,>Audrey Hepburn
2431,>Zig Ziglar
2432,>Philip Treacy
2433,>Brie Larson
2434,>Salman Rushdie
2435,>Sam Levenson
2436,>Thomas Merton
2437,>Harvey Weinstein
2438,>Kate Winslet
2439,>Zadie Smith
2440,>Guy Laliberte
2441,>Elon Musk
2442,>Yotam Ottolenghi
2443,>David Malpass
2444,>Ted Cruz
2445,>Ariana Grande
2446,>Chesley Sullenberger
2447,>Mikhail Lermontov
2448,>Leonardo da Vinci
2449,>Timothy Leary
2450,>Helen Rowland
2451,>Elisabeth Kubler-Ross
2452,>Martin H. Fischer
2453,>James A. Garfield
2454,>Julie Andrews
2455,>Steven Pinker
2456,>Joel Osteen
2457,>William Tecumseh Sherman
2458,>Jackie Kennedy
2459,>Michael Jordan
2460,>James Altucher
2461,>William Christopher Handy
2462,>Richard Branson
2463,>Mark Skousen
2464,>Anna Held
2465,>Kygo
2466,>John Updike
2467,>Booker T. Washington
2468,>Jane Fonda
2469,>Scott Weiss
2470,>John Ciardi
2471,>Benjamin Franklin
2472,>Solange Knowles
2473,>Naveen Jain
2474,>Bette Davis
2475,>Calvin Trillin
2476,>Alfred North Whitehead
2477,>George Santayana
2478,>Jaron Lanier
2479,>Oprah Winfrey
2480,>Amy Tan
2481,>Eric Hoffer
2482,">H. Jackson Brown, Jr."
2483,>Virgil
2484,>David Merrick
2485,>Jeff Nichols
2486,>Cesar Chavez
2487,>Marilyn Ferguson
2488,>Art Donovan
2489,>Garret Dillahunt
2490,>Michael Crichton
2491,>Andrew Ross Sorkin
2492,>Ricky Martin
2493,>Karan Mahajan
2494,>Nolan Bushnell
2495,>Diane Lane
2496,>Henry Cavill
2497,>Jackie Kennedy
2498,>John O'Donohue
2499,>Leonardo DiCaprio
2500,>Lisa Marie Presley
2501,>Steve Jobs
2502,>P. J. O'Rourke
2503,>Michael Bergdahl
2504,>Joel Edgerton
2505,>Warren Bennis
2506,>Aly Raisman
2507,>Earl Wilson
2508,>Isaac Mizrahi
2509,>Maria Montessori
2510,>Sarah Jessica Parker
2511,>Claire Danes
2512,>Aeschylus
2513,>Andrew Shue
2514,>Julian Baggini
2515,>Debra Winger
2516,>Gordon B. Hinckley
2517,>Emma Watson
2518,>Calvin Coolidge
2519,>Robin Quivers
2520,>Mark Cuban
2521,>Leo Strauss
2522,>Rumi
2523,>Regina Hall
2524,>Kinky Friedman
2525,>Ludwig Wittgenstein
2526,>Jean de La Fontaine
2527,>Alia Bhatt
2528,>Oliver E. Williamson
2529,>Eamon de Valera
2530,>Albert Einstein
2531,>Boethius
2532,>Peter Berg
2533,>Bill Cosby
2534,>Alan King
2535,>Chuck Palahniuk
2536,>David Russell
2537,>James Comey
2538,>Drew Barrymore
2539,>Audrey Hepburn
2540,>Iyanla Vanzant
2541,>John Wooden
2542,>John C. Maxwell
2543,>Scott Adams
2544,>Camille Paglia
2545,">Martin Luther King, Jr."
2546,>Norman Maclean
2547,>Kendrick Lamar
2548,>Anthony Michael Hall
2549,>Ezra Taft Benson
2550,>Lou Holtz
2551,>Sholom Aleichem
2552,>Ambrose Bierce
2553,>Neal Barnard
2554,>Dreama Walker
2555,>Gustav Mahler
2556,>Henry Walter Bates
2557,>Ross Mathews
2558,>Theodore Roosevelt
2559,>Andy Warhol
2560,>Douglas Conant
